25.44437	0.865	0.523	0.508	0.42
25.49445	0.865	0.523	0.508	0.42
25.54454	0.863	0.524	0.509	0.42
25.59463	0.865	0.525	0.508	0.42
25.64471	0.864	0.525	0.508	0.42
25.6948	0.865	0.524	0.508	0.42
25.74489	0.861	0.523	0.508	0.421
25.79498	0.865	0.523	0.509	0.419
25.84506	0.863	0.523	0.506	0.418
25.89515	0.867	0.52	0.509	0.419
25.94524	0.864	0.524	0.509	0.42
25.99533	0.868	0.521	0.507	0.418
26.04541	0.865	0.522	0.509	0.419
26.0955	0.864	0.52	0.509	0.419
26.14559	0.866	0.52	0.509	0.419
26.19568	0.866	0.52	0.509	0.419
26.24576	0.866	0.52	0.511	0.418
26.29585	0.87	0.519	0.51	0.42
26.34594	0.865	0.522	0.51	0.417
26.39602	0.869	0.521	0.51	0.42
26.44611	0.869	0.523	0.51	0.419
26.4962	0.87	0.522	0.51	0.417
26.54629	0.867	0.519	0.509	0.417
26.59637	0.868	0.523	0.51	0.417
26.64646	0.87	0.521	0.509	0.418
26.69655	0.868	0.521	0.512	0.417
26.74664	0.868	0.52	0.511	0.419
26.79672	0.868	0.522	0.512	0.417
26.84681	0.87	0.522	0.512	0.419
26.8969	0.873	0.521	0.512	0.417
26.94699	0.867	0.52	0.513	0.419
26.99707	0.872	0.521	0.511	0.417
27.04716	0.874	0.521	0.511	0.416
27.09725	0.871	0.522	0.512	0.418
27.14733	0.871	0.521	0.513	0.417
27.19742	0.87	0.521	0.511	0.418
27.24751	0.87	0.522	0.512	0.416
27.2976	0.871	0.523	0.512	0.418
27.34768	0.867	0.522	0.513	0.417
27.39777	0.868	0.523	0.512	0.419
27.44786	0.868	0.522	0.511	0.419
27.49795	0.867	0.522	0.51	0.42
27.54803	0.865	0.523	0.51	0.419
27.59812	0.861	0.523	0.509	0.418
27.64821	0.861	0.522	0.508	0.418
27.6983	0.865	0.522	0.508	0.419
27.74838	0.864	0.523	0.509	0.418
27.79847	0.866	0.523	0.508	0.418
27.84856	0.864	0.523	0.508	0.42
27.89864	0.864	0.523	0.508	0.42
27.94873	0.867	0.521	0.508	0.419
27.99882	0.86	0.524	0.509	0.422
28.04891	0.864	0.523	0.509	0.419
28.09899	0.863	0.522	0.509	0.419
28.14908	0.862	0.524	0.508	0.419
28.19917	0.868	0.524	0.509	0.419
28.24926	0.861	0.524	0.508	0.419
28.29934	0.865	0.524	0.507	0.42
